time,test 1,test 2,test 3,test 4,test 5
seconds,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g
-0.119,0.006226429,0.006111684,-0.014442874,-0.013842532,-0.013842532
-0.118,-0.013786251,0.002984704,-0.008814334,-0.018220262,-0.018220262
-0.117,-0.021291011,-0.003269271,-0.006938134,-0.000709202,-0.000709202
-0.116,-0.011284651,-0.012650221,0.011823746,0.010235235,0.010235235
-0.115,0.002474069,-0.006396221,0.019328486,0.016801928,0.016801928
-0.114,0.004975669,-0.011086721,0.004318986,-0.005087002,-0.005087002
-0.113,-0.006281491,0.006111684,-0.003185794,-0.011653632,-0.011653632
-0.112,0.002474069,0.009238679,-0.005061934,-0.011653632,-0.011653632
-0.111,0.017483589,-0.001705771,-0.012566734,-0.011653632,-0.011653632
-0.11,0.019985149,-0.014213671,-0.010690534,-0.002898102,-0.002898102
-0.109,0.017483589,-0.004832771,0.006195176,0.008046349,0.008046349
-0.108,0.006226429,0.010802179,0.015576146,0.016801928,0.016801928
-0.107,0.004975669,0.012365629,0.023080886,0.021179658,0.021179658
-0.106,0.002474069,0.007675179,0.009947552,0.001479691,0.001479691
-0.105,-0.005030691,-0.007959721,-0.005061934,-0.018220262,-0.018220262
-0.104,-0.017538611,-0.006396221,-0.006938134,-0.020409162,-0.020409162
-0.103,-0.022541771,-0.001705771,0.000566606,-0.007275832,-0.007275832
-0.102,-0.020040211,-0.006396221,-0.001309594,0.010235235,0.010235235
-0.101,0.013731201,-0.003269271,-0.010690534,-0.011653632,-0.011653632
-0.1,0.019985149,-0.001705771,-0.005061934,-0.026975862,-0.026975862
-0.099,0.013731201,-0.004832771,0.006195176,-0.011653632,-0.011653632
-0.098,0.001223269,-0.000142276,-0.005061934,0.010235235,0.010235235
-0.097,-0.008783051,-0.000142276,-0.021947674,0.010235235,0.010235235
-0.096,-0.006281491,0.001421212,-0.029452414,0.008046349,0.008046349
-0.095,-0.006281491,-0.001705771,-0.012566734,0.012424128,0.012424128
-0.094,-0.015037011,0.006111684,-0.012566734,0.003668575,0.003668575
-0.093,-0.028795891,0.015492629,-0.020071474,-0.000709202,-0.000709202
-0.092,-0.040052691,0.013929129,-0.018195274,0.001479691,0.001479691
-0.091,-0.018789411,-0.006396221,-0.005061934,0.003668575,0.003668575
-0.09,0.012480409,-0.023594621,0.000566606,0.008046349,0.008046349
-0.089,0.018734389,-0.006396221,-0.008814334,0.005857463,0.005857463
-0.088,0.003724869,0.006111684,-0.008814334,0.012424128,0.012424128
-0.087,-0.008783051,0.006111684,0.006195176,0.016801928,0.016801928
-0.086,-0.025043371,-0.003269271,0.015576146,0.010235235,0.010235235
-0.085,-0.030046691,-0.001705771,0.008071364,-0.002898102,-0.002898102
-0.084,-0.008783051,-0.001705771,-0.005061934,-0.011653632,-0.011653632
-0.083,-0.007532291,0.004548194,-0.008814334,-0.016031432,-0.016031432
-0.082,-0.010033851,0.001421212,-0.006938134,-0.005087002,-0.005087002
-0.081,-0.013786251,-0.009523221,0.000566606,0.018990758,0.018990758
-0.08,-0.018789411,-0.007959721,0.008071364,0.027746358,0.027746358
-0.079,-0.017538611,-0.003269271,0.000566606,0.014613028,0.014613028
-0.078,-0.012535451,0.004548194,-0.003185794,-0.005087002,-0.005087002
-0.077,-0.002529091,-0.011086721,-0.020071474,-0.018220262,-0.018220262
-0.076,0.013731201,-0.004832771,-0.008814334,-0.002898102,-0.002898102
-0.075,0.014981993,0.002984704,0.006195176,0.008046349,0.008046349
-0.074,0.012480409,0.013929129,0.006195176,0.003668575,0.003668575
-0.073,0.009978825,0.002984704,0.006195176,-0.009464732,-0.009464732
-0.072,0.008728029,0.002984704,-0.006938134,-0.005087002,-0.005087002
-0.071,-0.001278291,-0.003269271,-0.006938134,0.005857463,0.005857463
-0.07,0.001223269,-0.004832771,0.006195176,0.012424128,0.012424128
-0.069,0.001223269,0.004548194,0.021204686,0.010235235,0.010235235
-0.068,-0.002529091,0.015492629,0.021204686,-0.000709202,-0.000709202
-0.067,0.001223269,0.002984704,0.000566606,-0.007275832,-0.007275832
-0.066,-0.005030691,0.004548194,-0.010690534,-0.005087002,-0.005087002
-0.065,-0.013786251,0.013929129,-0.016319074,-0.009464732,-0.009464732
-0.064,-0.021291011,0.002984704,0.008071364,-0.000709202,-0.000709202
-0.063,-0.017538611,-0.004832771,0.019328486,0.012424128,0.012424128
-0.062,0.002474069,0.002984704,0.013699946,0.018990758,0.018990758
-0.061,0.013731201,0.006111684,0.000566606,0.001479691,0.001479691
-0.06,0.001223269,0.002984704,-0.010690534,-0.009464732,-0.009464732
-0.059,-0.010033851,0.010802179,-0.005061934,-0.005087002,-0.005087002
-0.058,-0.012535451,0.012365629,0.000566606,0.010235235,0.010235235
-0.057,-0.016287811,0.024873579,-0.001309594,0.016801928,0.016801928
-0.056,-0.010033851,0.018619629,0.000566606,0.018990758,0.018990758
-0.055,-0.011284651,0.013929129,-0.001309594,0.010235235,0.010235235
-0.054,-0.008783051,-0.007959721,0.000566606,-0.013842532,-0.013842532
-0.053,-0.017538611,-0.003269271,0.008071364,-0.026975862,-0.026975862
-0.052,-0.005030691,0.006111684,0.008071364,-0.016031432,-0.016031432
-0.051,0.013731201,0.006111684,0.011823746,-0.000709202,-0.000709202
-0.05,0.019985149,-0.012650221,0.023080886,0.005857463,0.005857463
-0.049,0.013731201,-0.015777171,0.028709426,0.008046349,0.008046349
-0.048,0.007477229,-0.015777171,0.021204686,-0.000709202,-0.000709202
-0.047,0.002474069,0.006111684,0.008071364,0.008046349,0.008046349
-0.046,0.009978825,0.010802179,-0.010690534,0.012424128,0.012424128
-0.045,0.003724869,0.006111684,-0.020071474,-0.005087002,-0.005087002
-0.044,0.004975669,0.007675179,-0.005061934,-0.020409162,-0.020409162
-0.043,0.014981993,0.017056129,0.009947552,-0.018220262,-0.018220262
-0.042,0.022486749,0.007675179,-0.003185794,-0.007275832,-0.007275832
-0.041,0.016232789,-0.017340671,-0.018195274,-0.005087002,-0.005087002
-0.04,0.001223269,-0.025158121,-0.016319074,-0.018220262,-0.018220262
-0.039,-0.023792571,-0.025158121,-0.014442874,-0.029164762,-0.029164762
-0.038,-0.021291011,-0.011086721,-0.010690534,-0.022598062,-0.022598062
-0.037,-0.007532291,-0.014213671,-0.010690534,-0.011653632,-0.011653632
-0.036,0.002474069,-0.018904171,0.006195176,-0.000709202,-0.000709202
-0.035,-0.003779891,-0.017340671,0.023080886,0.008046349,0.008046349
-0.034,-0.010033851,0.006111684,0.023080886,0.005857463,0.005857463
-0.033,-0.008783051,0.010802179,-0.010690534,0.008046349,0.008046349
-0.032,0.004975669,-0.007959721,-0.036957154,-0.000709202,-0.000709202
-0.031,0.011229616,-0.023594621,-0.023823874,0.001479691,0.001479691
-0.03,0.017483589,-0.014213671,0.009947552,0.008046349,0.008046349
-0.029,0.016232789,-0.003269271,0.023080886,0.016801928,0.016801928
-0.028,0.003724869,-0.004832771,0.015576146,0.023368558,0.023368558
-0.027,-0.003779891,-0.012650221,0.000566606,0.018990758,0.018990758
-0.026,-0.008783051,-0.014213671,-0.003185794,0.029935188,0.029935188
-0.025,-0.001278291,-0.014213671,0.004318986,0.036501888,0.036501888
-0.024,0.006226429,-0.014213671,0.008071364,0.034312988,0.034312988
-0.023,-0.002529091,-0.004832771,-0.014442874,0.021179658,0.021179658
-0.022,-0.008783051,0.001421212,-0.031328614,0.012424128,0.012424128
-0.021,-0.016287811,-0.004832771,-0.035080954,0.016801928,0.016801928
-0.02,-0.015037011,-0.007959721,-0.005061934,0.018990758,0.018990758
-0.019,-0.026294171,-0.001705771,0.015576146,0.005857463,0.005857463
-0.018,-0.023792571,0.012365629,0.008071364,-0.009464732,-0.009464732
-0.017,0.002474069,0.026437079,-0.006938134,-0.018220262,-0.018220262
-0.016,0.004975669,0.023310079,-0.006938134,-0.013842532,-0.013842532
-0.015,-0.006281491,0.006111684,-0.005061934,-0.000709202,-0.000709202
-0.014,-0.006281491,-0.003269271,-0.006938134,0.012424128,0.012424128
-0.013,-0.001278291,0.009238679,-0.014442874,0.014613028,0.014613028
-0.012,0.003724869,0.018619629,-0.020071474,0.018990758,0.018990758
-0.011,-2.75E-05,0.023310079,-0.010690534,0.012424128,0.012424128
-0.01,0.004975669,0.021746579,-0.016319074,0.003668575,0.003668575
-0.009,0.014981993,0.006111684,-0.033204814,-0.005087002,-0.005087002
-0.008,0.021235949,-0.006396221,-0.033204814,-0.000709202,-0.000709202
-0.007,0.016232789,-0.007959721,-0.014442874,-0.002898102,-0.002898102
-0.006,0.002474069,0.006111684,0.0024428,-0.009464732,-0.009464732
-0.005,-0.016287811,0.010802179,0.000566606,-0.002898102,-0.002898102
-0.004,-0.023792571,0.001421212,-0.018195274,0.010235235,0.010235235
